Time (UTC),Barometric Pressure (mbar),Temperature (degrees F),Dewpoint (degrees F),Relative Humidity (%),Wind speed (mph),Wind direction (degrees),Analysis Barometric Pressure (mbar),Analysis Temperature (degrees F),Analysis Dewpoint (degrees F),Analysis Relative Humidity (%),Analysis Wind speed (mph),Analysis Wind direction (degrees)
11/14/2017 15:00,,72,67.5,85,0,0,,,,,,
11/15/2017 6:00,1006.95,72,67.1,84,3,90,,,,,,
11/16/2017 6:00,1005.95,69.8,62.8,78,0,0,,,,,,
11/16/2017 9:00,1005.39,80.6,66.6,62,2,160,,,,,,
11/16/2017 12:00,1003.27,77.7,68.5,73,0,0,,,,,,
11/16/2017 15:00,1002.71,75.9,67.8,76,0,0,,,,,,
11/17/2017 6:00,1006.62,68,63.7,86,0,0,,,,,,
11/17/2017 9:00,1006.17,77.9,64.8,64,4,320,,,,,,
11/17/2017 12:00,1003.04,77.9,65.8,66,5,320,,,,,,
11/17/2017 15:00,1002.93,70.7,66.7,87,2,340,,,,,,
11/18/2017 6:00,1007.63,71.6,64.9,79,0,0,,,,,,
11/19/2017 12:00,1003.71,81.5,67.3,62,2,160,,,,,,
11/20/2017 6:00,1007.85,72.3,64.6,76,0,0,,,,,,
11/20/2017 9:00,1007.63,77.9,64.4,63,2,70,,,,,,
11/20/2017 15:00,1004.72,77.9,64,62,2,160,,,,,,
11/21/2017 6:00,1007.18,70.9,62.6,75,2,90,,,,,,
11/21/2017 9:00,1006.84,79.9,62.1,54,2,90,,,,,,
11/21/2017 12:00,1003.71,83.3,63.1,50,4,340,,,,,,
11/21/2017 15:00,1002.82,80.6,64.4,57,3,50,,,,,,
11/22/2017 12:00,1003.83,81.5,62.6,52,4,90,,,,,,
11/23/2017 6:00,1006.4,69.8,62.8,78,3,320,,,,,,
11/23/2017 9:00,1006.4,75.2,61.7,62,2,290,,,,,,
11/23/2017 15:00,,77,63.5,63,3,90,,,,,,
11/24/2017 9:00,1008.63,64.4,64.4,100,2,290,,,,,,
11/24/2017 12:00,1005.73,69.8,64.4,83,0,0,,,,,,
11/24/2017 15:00,1005.28,68.7,65.5,89,3,290,,,,,,
11/25/2017 6:00,1008.97,68.9,64.9,87,3,290,,,,,,
11/25/2017 15:00,1004.83,77.4,64.4,64,3,290,,,,,,
11/26/2017 15:00,1006.28,75.9,65.1,69,4,180,,,,,,
11/27/2017 6:00,1009.75,72.5,68.5,87,0,0,,,,,,
11/27/2017 9:00,1008.41,79.5,66.4,64,4,180,,,,,,
11/27/2017 12:00,1006.06,73.4,68,83,0,0,,,,,,
11/29/2017 9:00,1008.85,68.9,64.4,85,0,0,,,,,,
11/29/2017 15:00,1004.61,79.7,66.2,63,2,340,,,,,,
11/30/2017 6:00,1008.74,68,64,87,3,290,,,,,,
11/30/2017 12:00,1006.06,77.9,66.9,69,2,200,,,,,,
11/30/2017 15:00,1004.72,75.9,65.5,70,2,180,,,,,,
12/1/2017 6:00,1008.52,71.6,64.9,79,2,180,,,,,,
12/1/2017 9:00,1007.63,78.3,64.2,62,3,180,,,,,,
12/1/2017 12:00,1004.16,77.9,64.4,63,3,160,,,,,,
12/1/2017 15:00,,74.3,64.9,72,3,140,,,,,,
12/2/2017 6:00,1008.3,69.8,65.8,87,0,0,,,,,,
12/2/2017 9:00,1007.18,78.8,65.8,64,0,0,,,,,,
12/2/2017 12:00,1004.05,80.6,61.7,52,6,340,,,,,,
12/2/2017 15:00,1003.6,79.2,61.9,55,4,320,,,,,,
12/3/2017 6:00,1008.18,70.9,66.6,86,0,0,,,,,,
12/3/2017 9:00,1008.18,79.5,64.9,61,4,340,,,,,,
12/3/2017 12:00,1005.73,75.9,65.5,70,6,90,,,,,,
12/3/2017 15:00,1004.94,76.1,66.2,71,2,180,,,,,,
12/4/2017 6:00,1008.41,68.7,66.6,92,0,0,,,,,,
12/4/2017 9:00,1007.74,75.2,68.2,78,2,270,,,,,,
12/5/2017 15:00,1003.04,79.2,61.9,55,2,160,,,,,,
12/6/2017 9:00,1006.62,69.4,67.3,92,4,180,,,,,,
12/6/2017 12:00,1003.71,78.8,65.3,63,2,160,,,,,,
12/7/2017 6:00,1006.28,73,69.3,87,6,110,,,,,,
12/8/2017 6:00,1005.95,70.2,68.4,94,0,0,,,,,,
12/8/2017 9:00,1005.05,78.1,65.7,65,0,0,,,,,,
12/8/2017 12:00,1002.26,78.8,67.5,68,3,180,,,,,,
12/8/2017 15:00,1001.7,78.1,66.2,66,4,160,,,,,,
12/9/2017 12:00,1002.26,78.1,65.7,65,5,270,,,,,,
12/10/2017 6:00,1006.4,71.6,67.8,87,2,290,,,,,,
12/10/2017 9:00,1005.84,77.7,65.8,66,2,20,,,,,,
12/10/2017 15:00,1003.71,77,65.7,68,0,0,,,,,,
12/11/2017 6:00,1008.41,68.9,62.2,79,3,290,,,,,,
12/11/2017 9:00,1007.85,76.1,61.3,60,2,90,,,,,,
12/11/2017 12:00,1005.39,81.5,61.9,51,6,180,,,,,,
12/11/2017 15:00,1005.17,77,64.9,66,2,160,,,,,,
12/12/2017 6:00,,68,65.3,91,0,0,,,,,,
12/12/2017 9:00,1007.74,79.2,61.9,55,2,160,,,,,,
12/12/2017 12:00,1005.61,81.5,63.5,54,4,180,,,,,,
12/12/2017 15:00,1005.39,79.5,64.4,60,3,160,,,,,,
12/13/2017 6:00,1008.41,68.9,63.5,82,2,290,,,,,,
12/14/2017 12:00,1004.72,82.4,65.7,57,0,0,,,,,,
12/14/2017 15:00,1004.05,79.7,65.5,61,3,180,,,,,,
12/15/2017 9:00,1007.07,81.5,61.3,50,4,160,,,,,,
12/16/2017 6:00,1007.4,69.1,64.8,86,0,0,,,,,,
12/16/2017 15:00,1003.71,79.5,64.9,61,3,180,,,,,,
12/18/2017 12:00,1003.71,81.3,65.5,58,2,180,,,,,,
12/19/2017 9:00,1006.51,80.6,65.8,60,4,160,,,,,,
12/19/2017 15:00,1002.93,79.7,66.6,64,2,160,,,,,,
12/20/2017 6:00,1007.63,70.7,66.7,87,0,0,,,,,,
12/20/2017 9:00,1007.63,79.7,64.9,60,2,160,,,,,,
12/20/2017 12:00,1004.94,82.4,65.1,56,4,90,,,,,,
12/20/2017 15:00,1004.27,80.2,65.1,60,2,180,,,,,,
12/23/2017 6:00,1006.51,70.7,57.2,62,0,0,,,,,,
12/23/2017 9:00,1006.28,82.4,62.2,50,2,20,,,,,,
12/23/2017 15:00,1002.82,80.6,65.8,60,2,120,,,,,,
12/24/2017 6:00,1006.06,71.6,63.5,75,0,0,,,,,,
12/24/2017 9:00,1005.28,82.4,62.2,50,2,90,,,,,,
12/24/2017 12:00,1002.71,86.4,59.9,41,4,180,,,,,,
12/24/2017 15:00,1001.93,83.5,63,50,0,0,,,,,,
12/25/2017 6:00,1008.18,70.2,58.8,67,0,0,,,,,,
12/25/2017 9:00,1006.95,80.6,56.3,43,3,160,,,,,,
12/25/2017 12:00,1004.27,84.2,54.5,36,2,160,,,,,,
12/25/2017 15:00,1003.49,79.7,60.8,52,3,160,,,,,,
12/26/2017 6:00,1007.96,72.3,66.9,83,0,0,,,,,,
12/26/2017 9:00,1006.28,81.5,65.3,58,4,160,,,,,,
12/26/2017 12:00,1003.6,83.3,64.4,53,4,180,,,,,,
12/26/2017 15:00,1003.04,78.8,65.3,63,4,160,,,,,,
12/27/2017 6:00,,69.8,64.4,83,0,0,,,,,,
12/27/2017 9:00,1005.17,82.4,60.8,48,2,270,,,,,,
12/27/2017 12:00,1002.48,84.6,58.5,41,3,180,,,,,,
12/28/2017 6:00,1006.62,69.8,63.9,81,3,290,,,,,,
12/28/2017 9:00,1005.73,81,58.3,46,6,290,,,,,,
12/28/2017 12:00,1002.6,86.4,57.6,37,4,320,,,,,,
12/28/2017 15:00,1002.37,83.1,63.1,51,2,180,,,,,,
12/29/2017 9:00,1007.29,80.6,61.2,51,5,20,,,,,,
12/29/2017 12:00,1004.16,85.1,63.3,48,2,90,,,,,,
12/29/2017 15:00,1003.49,83.3,63.1,50,4,180,,,,,,
12/30/2017 6:00,,72.3,65.8,80,4,270,,,,,,
12/30/2017 9:00,1007.4,77.7,65.8,66,2,230,,,,,,
12/30/2017 12:00,1005.05,69.8,66,87,0,0,,,,,,
12/30/2017 15:00,1003.94,75.2,65.5,71,2,160,,,,,,
1/1/2018 6:00,1008.3,67.1,64.8,92,2,290,,,,,,
1/1/2018 12:00,1004.16,77.9,63.1,60,0,0,,,,,,
1/2/2018 6:00,1007.4,67.1,67.1,100,0,0,,,,,,
1/2/2018 9:00,1006.84,73.4,62.6,69,2,320,,,,,,
1/2/2018 12:00,1003.94,78.8,65.3,63,5,270,,,,,,
1/2/2018 15:00,1002.6,75.6,65.7,71,0,0,,,,,,
1/3/2018 6:00,1007.63,66.2,64.9,95,4,320,,,,,,
1/3/2018 9:00,1006.84,75.2,57.9,55,2,90,,,,,,
1/3/2018 12:00,1003.27,79.7,58.1,47,7,290,,,,,,
1/5/2018 9:00,1006.51,76.1,59.9,57,4,90,,,,,,
1/5/2018 12:00,1003.6,81.5,58.6,45,5,360,,,,,,
1/6/2018 15:00,1003.38,80.6,53.6,39,0,0,,,,,,
1/8/2018 6:00,1008.63,68,57.2,68,4,320,,,,,,
1/8/2018 9:00,1007.29,77.9,56.3,47,8,360,,,,,,
1/9/2018 6:00,1008.85,68,55,63,2,360,,,,,,
1/9/2018 9:00,1008.18,77.9,52.3,41,3,340,,,,,,
1/9/2018 12:00,1004.5,86,52.3,31,4,340,,,,,,
1/9/2018 15:00,1003.71,86,56.3,36,2,360,,,,,,
1/10/2018 6:00,1008.74,68.4,66.6,93,2,290,,,,,,
1/10/2018 9:00,1007.63,77.7,55,45,4,270,,,,,,
1/10/2018 12:00,1004.05,84.9,52.9,33,3,320,,,,,,
1/10/2018 15:00,1003.04,84.2,56.7,39,2,290,,,,,,
1/11/2018 6:00,1007.29,71.2,60.4,68,0,0,,,,,,
1/11/2018 9:00,1006.51,78.8,57.2,47,4,270,,,,,,
1/11/2018 12:00,1003.71,82.4,60.8,48,6,180,,,,,,
1/11/2018 15:00,1003.6,79.2,65.1,62,4,180,,,,,,
1/12/2018 6:00,1008.07,71.2,66.4,84,0,0,,,,,,
1/12/2018 9:00,1006.95,77,64,64,3,160,,,,,,
1/12/2018 12:00,1005.95,76.1,65.8,70,15,20,,,,,,
1/12/2018 15:00,1004.05,65.1,64,96,0,0,,,,,,
1/13/2018 9:00,1006.62,79.5,66.4,64,2,90,,,,,,
1/13/2018 12:00,1004.61,74.3,67.1,78,4,160,,,,,,
1/13/2018 15:00,1003.6,75.2,65.8,72,2,180,,,,,,
1/14/2018 6:00,1007.85,70.7,66.7,87,4,180,,,,,,
1/14/2018 12:00,1004.16,79.9,66,62,7,180,,,,,,
1/14/2018 15:00,1003.49,73.4,61.3,66,2,160,,,,,,
1/15/2018 6:00,1007.85,69.8,64.4,83,0,0,,,,,,
1/15/2018 9:00,1007.63,78.4,62.8,58,2,340,,,,,,
1/15/2018 12:00,1004.61,83.1,62.1,49,4,340,,,,,,
1/15/2018 15:00,1003.94,77.9,67.1,69,2,270,,,,,,
1/16/2018 6:00,1008.63,70.9,67.6,89,2,290,,,,,,
1/16/2018 9:00,1007.4,78.8,62.6,57,4,290,,,,,,
1/16/2018 12:00,,84.2,59.4,43,2,320,,,,,,
1/16/2018 15:00,1003.27,77.4,68.7,74,5,180,,,,,,
1/17/2018 6:00,1006.95,68,56.1,65,2,320,,,,,,
1/17/2018 9:00,1006.06,79.7,58.1,47,2,50,,,,,,
1/17/2018 12:00,1002.93,86,56.3,36,2,90,,,,,,
1/17/2018 15:00,1001.59,84.9,56.1,37,4,90,,,,,,
1/18/2018 6:00,1007.18,71.6,67.8,87,3,290,,,,,,
1/18/2018 9:00,1006.4,80.6,60.4,50,2,250,,,,,,
1/18/2018 12:00,1003.27,81.5,58.6,45,4,270,,,,,,
1/18/2018 15:00,1002.6,78.1,67.1,69,3,180,,,,,,
1/19/2018 6:00,1006.73,68.4,67.8,98,2,290,,,,,,
1/19/2018 9:00,1005.73,79.7,58.5,48,2,290,,,,,,
1/19/2018 12:00,1002.48,84.9,55.6,36,4,340,,,,,,
1/19/2018 15:00,1001.81,84.2,55.9,38,2,70,,,,,,
1/20/2018 12:00,1004.83,79.7,62.2,55,8,320,,,,,,
1/20/2018 15:00,1003.94,81.3,54.3,39,6,320,,,,,,
1/21/2018 15:00,1003.83,77.4,63.3,62,3,180,,,,,,
1/22/2018 6:00,1006.73,69.8,65.8,87,2,290,,,,,,
1/22/2018 9:00,1005.73,81.5,63,53,2,250,,,,,,
1/22/2018 12:00,1002.37,82.4,65.1,56,5,90,,,,,,
1/23/2018 12:00,1002.93,77.9,65.8,66,8,120,,,,,,
1/23/2018 15:00,1002.15,78.4,65.5,64,4,290,,,,,,
1/24/2018 6:00,1006.84,68.9,66.4,91,3,290,,,,,,
1/24/2018 9:00,1005.95,77.2,62.1,59,5,270,,,,,,
1/25/2018 6:00,1007.4,64.8,63.1,94,2,270,,,,,,
1/25/2018 9:00,1007.85,70.7,64.4,80,3,270,,,,,,
1/25/2018 12:00,1005.61,72,66.9,84,5,180,,,,,,
1/25/2018 15:00,1004.38,68.5,66.4,92,3,220,,,,,,
1/26/2018 6:00,1008.74,65.3,62.6,90,0,0,,,,,,
1/26/2018 9:00,1007.85,71.6,64.9,79,0,0,,,,,,
1/26/2018 12:00,1004.72,73.8,63.9,71,2,270,,,,,,
1/26/2018 15:00,1003.04,74.3,66.2,75,2,90,,,,,,
1/27/2018 6:00,1007.18,67.1,65.8,95,2,270,,,,,,
1/27/2018 9:00,1006.84,76.1,62.6,63,3,270,,,,,,
1/27/2018 12:00,1003.6,82.4,62.4,50,2,90,,,,,,
1/27/2018 15:00,1002.04,78.8,63.1,58,8,160,,,,,,
1/28/2018 6:00,1007.07,69.4,67.3,92,0,0,,,,,,
1/28/2018 9:00,1006.28,78.1,66.7,68,5,180,,,,,,
1/28/2018 12:00,1003.27,79.7,63.5,57,2,110,,,,,,
1/28/2018 15:00,1002.37,77.7,66.9,69,2,90,,,,,,
1/29/2018 6:00,1007.07,69.8,66.4,88,2,340,,,,,,
1/29/2018 9:00,1006.4,80.2,64,57,0,0,,,,,,
1/29/2018 12:00,1003.16,83.3,63.3,51,3,90,,,,,,
1/29/2018 15:00,1002.37,77.4,67.5,71,3,160,,,,,,
1/30/2018 9:00,1006.17,82,57,42,6,290,,,,,,
1/31/2018 12:00,1003.27,86.7,57,36,4,90,,,,,,
1/31/2018 15:00,1002.93,81.3,61.9,51,2,110,,,,,,
2/1/2018 6:00,1006.84,69.8,60.4,72,3,290,,,,,,
2/1/2018 9:00,1005.39,80.6,62.6,54,3,320,,,,,,
2/2/2018 6:00,1005.61,70.2,65.8,86,2,270,,,,,,
2/2/2018 9:00,1005.17,82,62.1,50,2,180,,,,,,
2/2/2018 12:00,1002.82,82.4,62.8,51,8,160,,,,,,
2/2/2018 15:00,1002.15,79.7,68.4,68,4,160,,,,,,
2/3/2018 6:00,1006.73,70.7,67.3,88,2,140,,,,,,
2/3/2018 9:00,1006.06,82.4,64.9,55,2,70,,,,,,
2/3/2018 12:00,1003.04,86.9,59.9,40,2,90,,,,,,
2/3/2018 15:00,1002.37,84.9,63.7,49,3,180,,,,,,
2/4/2018 6:00,1006.06,70.7,63,76,2,70,,,,,,
2/4/2018 9:00,1005.39,82.8,59.4,45,2,250,,,,,,
2/4/2018 12:00,1002.48,86.9,59.7,40,2,180,,,,,,
2/4/2018 15:00,1002.26,83.1,60.4,46,2,160,,,,,,
2/5/2018 6:00,1005.39,72.5,63.7,73,0,0,,,,,,
2/5/2018 9:00,1004.61,84.2,58.6,42,2,250,,,,,,
2/6/2018 6:00,,72,64.8,78,2,250,,,,,,
2/6/2018 9:00,1005.05,84.2,61,45,4,270,,,,,,
2/6/2018 12:00,1002.15,84.2,59.9,44,3,160,,,,,,
2/6/2018 15:00,1001.48,79.5,62.2,55,3,180,,,,,,
2/7/2018 6:00,1005.17,73.4,70.7,91,2,270,,,,,,
2/7/2018 9:00,1004.94,83.3,65.8,55,2,200,,,,,,
2/7/2018 12:00,1002.26,79.7,67.1,65,5,180,,,,,,
2/7/2018 15:00,1001.7,77,66.2,69,4,180,,,,,,
2/8/2018 6:00,1005.61,72.5,71.2,95,0,0,,,,,,
2/8/2018 9:00,1004.94,82.4,67.6,61,8,180,,,,,,
2/8/2018 12:00,1001.93,84,64,51,6,180,,,,,,
2/8/2018 15:00,1001.59,82.4,63.5,52,2,160,,,,,,
2/9/2018 6:00,1006.17,68.9,67.6,95,0,0,,,,,,
2/9/2018 9:00,1005.95,71.6,64.9,79,3,270,,,,,,
2/9/2018 12:00,1002.48,77.9,61.7,57,3,270,,,,,,
2/9/2018 15:00,1001.37,77,63.5,63,0,0,,,,,,
2/10/2018 15:00,1000.58,81.3,65.5,58,3,160,,,,,,
2/11/2018 6:00,1006.95,70.7,64,79,0,0,,,,,,
2/11/2018 9:00,1005.95,83.3,59,43,2,320,,,,,,
2/11/2018 12:00,1003.04,86,59,40,4,230,,,,,,
2/11/2018 15:00,1002.71,78.8,65.3,63,6,180,,,,,,
2/12/2018 6:00,1008.07,70.5,68.2,92,2,290,,,,,,
2/12/2018 9:00,1007.4,81.5,65.1,57,2,290,,,,,,
2/12/2018 12:00,1005.05,79.7,67.6,66,4,160,,,,,,
2/12/2018 15:00,1004.72,77.9,63.1,60,3,230,,,,,,
2/13/2018 6:00,1008.52,71.6,66.2,83,3,250,,,,,,
2/13/2018 9:00,1008.07,81.3,62.8,53,4,70,,,,,,
2/13/2018 12:00,1005.5,85.3,65.3,51,5,180,,,,,,
2/13/2018 15:00,1003.94,81.3,64,55,4,160,,,,,,
2/14/2018 6:00,1007.63,73.4,68,83,2,250,,,,,,
2/14/2018 9:00,1007.29,83.3,65.8,55,3,70,,,,,,
2/14/2018 12:00,1004.61,84.2,60.3,44,2,180,,,,,,
2/14/2018 15:00,1003.94,78.8,68.9,71,6,180,,,,,,
2/15/2018 6:00,1007.07,72.5,68.5,87,2,250,,,,,,
2/15/2018 9:00,1006.73,85.1,58.1,40,4,160,,,,,,
2/15/2018 12:00,1003.6,87.8,62.2,42,3,290,,,,,,
2/15/2018 15:00,1003.16,82,63.7,53,6,160,,,,,,
2/16/2018 9:00,1007.07,84.9,60.1,43,4,160,,,,,,
2/16/2018 15:00,1003.04,83.1,61.5,48,4,160,,,,,,
2/17/2018 6:00,1007.07,75.2,67.1,75,2,180,,,,,,
2/17/2018 12:00,1002.71,88.7,64.4,44,7,180,,,,,,
2/17/2018 15:00,,84.2,61.3,46,2,160,,,,,,
2/18/2018 15:00,,77.7,66.9,69,0,0,,,,,,
2/19/2018 9:00,1006.62,74.3,64.9,72,2,200,,,,,,
2/20/2018 15:00,1001.7,79.5,63.7,58,4,180,,,,,,
2/21/2018 6:00,1006.62,67.1,65.8,95,0,0,,,,,,
2/21/2018 9:00,1007.29,69.1,65.3,87,2,180,,,,,,
2/21/2018 12:00,1003.27,76.1,65.3,69,2,290,,,,,,
2/22/2018 15:00,999.47,80.2,66,62,2,180,,,,,,
2/23/2018 6:00,1004.61,69.1,66.9,92,3,250,,,,,,
2/23/2018 9:00,1004.16,79.5,64.9,61,4,270,,,,,,
2/23/2018 12:00,1001.14,82.8,64.4,54,2,160,,,,,,
2/23/2018 15:00,1000.25,81.5,64,55,2,180,,,,,,
2/24/2018 9:00,1006.28,78.1,66.2,66,2,270,,,,,,
2/25/2018 15:00,1002.82,81,65.3,59,4,160,,,,,,
2/26/2018 6:00,1008.52,67.3,66.7,98,0,0,,,,,,
2/26/2018 9:00,1007.96,69.4,66,88,4,270,,,,,,
2/26/2018 12:00,1004.05,80.2,64,57,4,320,,,,,,
2/28/2018 6:00,1006.95,68.9,67.6,95,0,0,,,,,,
2/28/2018 15:00,1002.93,78.8,65.3,63,4,320,,,,,,
3/1/2018 6:00,1007.07,69.4,64,82,2,270,,,,,,
3/1/2018 9:00,1007.4,77.7,64.6,64,2,250,,,,,,
3/1/2018 12:00,1003.27,82.4,66.2,58,4,270,,,,,,
3/1/2018 15:00,1005.5,65.8,65.8,100,2,160,,,,,,
3/2/2018 9:00,,69.8,65.3,85,6,290,,,,,,
3/2/2018 12:00,1006.06,68.9,63.9,84,7,320,,,,,,
3/3/2018 6:00,1007.29,66.6,63.9,91,0,0,,,,,,
3/3/2018 9:00,,74.3,64.4,71,2,200,,,,,,
3/3/2018 12:00,1003.83,79.2,64,59,3,180,,,,,,
3/3/2018 15:00,1003.49,66.2,65.7,98,4,180,,,,,,
3/4/2018 6:00,1007.4,67.1,67.1,100,0,0,,,,,,
3/4/2018 9:00,1008.74,63.5,63.5,100,0,0,,,,,,
3/4/2018 12:00,1005.39,66.2,66.2,100,0,0,,,,,,
3/4/2018 15:00,1004.16,68,66.4,94,0,0,,,,,,
3/7/2018 6:00,1009.3,68,64,87,0,0,,,,,,
3/7/2018 9:00,1009.08,77,64.9,66,3,160,,,,,,
3/7/2018 12:00,1006.06,80.6,64.9,59,2,180,,,,,,
3/7/2018 15:00,1004.38,79.7,65.5,61,6,250,,,,,,
3/8/2018 6:00,1008.85,70.7,66.7,87,2,110,,,,,,
3/9/2018 9:00,,80.6,67.6,64,4,90,,,,,,
3/9/2018 12:00,1003.27,78.8,68,69,6,160,,,,,,
3/9/2018 15:00,1002.04,79.7,66,63,2,160,,,,,,
3/10/2018 12:00,1004.27,77,63.5,63,4,160,,,,,,
3/10/2018 15:00,1002.71,74.7,62.1,64,5,160,,,,,,
3/11/2018 6:00,1008.41,65.8,63.7,92,0,0,,,,,,
3/11/2018 9:00,1008.3,73.4,63.1,70,2,270,,,,,,
3/11/2018 15:00,1003.49,80.6,63.9,56,2,270,,,,,,
3/12/2018 15:00,1005.17,77.7,64.2,63,0,0,,,,,,
3/13/2018 6:00,1008.85,68.9,67.6,95,0,0,,,,,,
3/13/2018 9:00,1008.97,73.4,66.9,80,3,320,,,,,,
3/13/2018 12:00,1006.4,76.6,66.4,70,8,180,,,,,,
3/13/2018 15:00,1005.5,73.4,65.3,75,2,180,,,,,,
3/14/2018 6:00,1007.63,70.7,69.4,95,0,0,,,,,,
3/14/2018 9:00,1007.07,79.2,65.7,63,3,160,,,,,,
3/14/2018 15:00,1002.37,74.1,67.1,78,2,180,,,,,,
3/15/2018 9:00,1008.97,66.2,66.2,100,4,70,,,,,,
3/15/2018 15:00,1005.05,67.6,66,94,0,0,,,,,,
3/16/2018 6:00,,68.9,64.9,87,0,0,,,,,,
3/16/2018 12:00,1005.17,77,67.6,72,3,160,,,,,,
3/16/2018 15:00,1003.49,75.6,65.7,71,2,180,,,,,,
3/17/2018 9:00,1006.51,77.9,65.8,66,3,160,,,,,,
3/18/2018 15:00,1002.04,68.4,67.3,96,0,0,,,,,,
3/19/2018 9:00,1008.74,69.8,65.8,87,0,0,,,,,,
3/19/2018 15:00,1003.49,73.4,65.3,75,4,270,,,,,,
3/20/2018 12:00,1004.5,79.7,66.2,63,3,140,,,,,,
3/21/2018 6:00,1009.41,66.2,66.2,100,0,0,,,,,,
3/22/2018 9:00,1008.97,79.5,65.5,62,2,180,,,,,,
3/22/2018 12:00,1006.51,79.7,64.9,60,2,140,,,,,,
3/22/2018 15:00,1004.38,77,65.8,68,0,0,,,,,,
3/23/2018 12:00,1003.83,82.4,66.2,58,5,180,,,,,,
3/24/2018 15:00,1002.6,79.5,66.6,64,0,0,,,,,,
3/25/2018 6:00,1008.07,66.9,64.6,92,0,0,,,,,,
3/25/2018 9:00,1007.51,78.4,64.4,62,3,270,,,,,,
3/25/2018 15:00,1004.61,77.7,63.7,62,0,0,,,,,,
3/26/2018 6:00,1008.74,68.9,67.6,95,2,110,,,,,,
3/26/2018 12:00,1004.94,79.7,63.5,57,5,160,,,,,,
3/26/2018 15:00,1004.61,78.8,62.1,56,3,160,,,,,,
3/28/2018 6:00,1006.28,66.2,66.2,100,4,230,,,,,,
3/28/2018 9:00,1006.4,76.3,64.9,68,0,0,,,,,,
3/28/2018 12:00,1003.94,79.5,63.7,58,0,0,,,,,,
3/28/2018 15:00,1002.82,77.9,64.4,63,2,180,,,,,,
3/29/2018 15:00,1004.72,68.7,63.3,82,0,0,,,,,,
3/30/2018 6:00,1008.97,70.2,66.9,89,0,0,,,,,,
3/30/2018 9:00,1008.74,78.8,68.5,70,2,90,,,,,,
3/30/2018 12:00,1006.73,73.4,68,83,0,0,,,,,,
3/31/2018 9:00,1006.73,80.6,63.1,55,2,180,,,,,,
3/31/2018 12:00,1003.94,73.8,67.8,81,2,180,,,,,,
3/31/2018 15:00,1002.48,79.5,66.4,64,2,230,,,,,,
4/1/2018 6:00,1005.28,72,68.2,87,0,0,,,,,,
4/2/2018 12:00,1001.81,73.8,69.3,85,0,0,,,,,,
4/2/2018 15:00,1000.7,75.2,69.3,81,4,180,,,,,,
4/3/2018 15:00,1001.93,66.2,66.2,100,0,0,,,,,,
4/4/2018 6:00,1008.3,65.5,,,0,0,,,,,,
4/4/2018 9:00,1007.74,67.1,65.8,95,3,270,,,,,,
4/4/2018 12:00,1004.94,73.4,66.7,79,0,0,,,,,,
4/4/2018 15:00,1002.37,75.2,67.1,75,2,180,,,,,,
4/5/2018 6:00,1006.51,67.1,64.8,92,0,0,,,,,,
4/5/2018 9:00,1006.28,75.6,64.8,69,4,180,,,,,,
4/5/2018 12:00,1003.38,74.8,66.2,74,3,160,,,,,,
4/5/2018 15:00,1002.04,73.8,66.6,78,0,0,,,,,,
4/8/2018 15:00,1003.94,75.2,63.9,67,0,0,,,,,,
4/9/2018 15:00,1003.83,76.1,66.7,72,0,0,,,,,,
4/10/2018 9:00,1006.62,78.4,66.9,67,4,290,,,,,,
4/11/2018 15:00,1002.71,71.6,68.4,89,0,0,,,,,,
4/12/2018 15:00,1003.6,77,63.5,63,0,0,,,,,,
4/13/2018 6:00,1008.18,69.8,68.2,94,2,270,,,,,,
4/13/2018 9:00,1008.3,74.1,67.6,80,4,160,,,,,,
4/13/2018 12:00,1004.5,77.9,65.8,66,2,180,,,,,,
4/13/2018 15:00,1004.05,76.1,65.3,69,4,160,,,,,,
4/14/2018 6:00,1010.2,62.6,,,0,0,,,,,,
4/14/2018 9:00,1011.09,68,64.2,87,2,290,,,,,,
4/14/2018 12:00,1008.85,69.8,64.9,84,3,270,,,,,,
4/14/2018 15:00,1007.96,65.5,65.5,100,0,0,,,,,,
4/17/2018 12:00,1008.97,73.4,66.7,79,2,180,,,,,,
4/17/2018 15:00,1007.51,73.4,65.8,77,3,180,,,,,,
4/18/2018 6:00,1010.64,69.8,67.6,92,0,0,,,,,,
4/18/2018 9:00,1010.75,76.1,68,76,0,0,,,,,,
4/19/2018 6:00,1009.52,72.5,68.5,87,0,0,,,,,,
4/19/2018 9:00,1009.3,79.5,66.4,64,2,270,,,,,,
4/19/2018 12:00,1006.06,73.4,68,83,4,140,,,,,,
4/20/2018 15:00,1004.16,72.5,68.5,87,0,0,,,,,,
4/21/2018 12:00,1005.05,78.1,67.1,69,2,180,,,,,,
4/21/2018 15:00,1004.38,75.9,67.3,74,3,140,,,,,,
4/22/2018 15:00,1005.84,69.8,69.8,100,0,0,,,,,,
4/23/2018 6:00,1008.63,68.9,67.6,95,2,270,,,,,,
4/23/2018 9:00,1008.63,77.4,68.7,74,3,270,,,,,,
4/23/2018 12:00,1004.94,75.2,69.3,81,3,160,,,,,,
4/24/2018 6:00,1008.41,70.7,70.2,98,0,0,,,,,,
4/25/2018 6:00,1009.97,66.2,66.2,100,0,0,,,,,,
4/25/2018 9:00,1008.41,75.2,65.8,72,2,160,,,,,,
4/25/2018 12:00,1005.17,79.2,64.6,61,4,180,,,,,,
4/25/2018 15:00,1004.61,77,66.2,69,4,160,,,,,,
